title,body,tags
É uma boa prática lançar exceção nesses casos?,"<p>Estou resolvendo alguns exercícios de orientação à objetos. Um dos exercícios pede pra escrever uma classe que representa um voo de avião, contendo a data, o número e métodos para verificar status de assentos.</p>

<p>As requisições pedem um método <code>ocupa</code> que seja responsável por tomar um número de assento entre 1 e 100 e caso esteja livre, ocupar o assento (basicamente isso seria somente seta-lo como ocupado). O exercício pede pra retornar true se o assento puder ser usado e false caso ele já esteja ocupado.</p>

<p>Não sei se gosto muito dessa abordagem. Na realidade, pensando sobre o método não acho natural ele retornar nada. Por isso implementei diferente. Se o assento pode ser ocupado, tudo correu bem e não precisa se fazer nada. Caso o assento já esteja ocupado estou lançando uma <code>InvalidOperationException</code> com uma mensagem apropriada.</p>

<p>O exercício também pede um método <code>proximoLivre</code> capaz de encontrar o número do próximo assento livre. Nesse caso o exercício não diz o que fazer se não houver mais assentos livres e então eu também estou lançando uma <code>InvalidOperationException</code>.</p>

<p>São boas práticas em casos como esse lançar exceções? Fiquei em dúvida se exceções deveriam ser usadas em casos assim também, ou somente pra lidar com erros mesmo da aplicação.</p>
",<orientação-a-objetos><exceção>
Métodos e propriedades em C# - vantagens e desvantagens,"<p>Em C# temos propriedades com getters e setters, o que facilita a inserção e leitura de dados em um objeto quando alguma lógica deve ser realizada. Em outras linguagens, como o Java essas tarefas são feitas com métodos: quando precisamos de lógica para ler um campo ou para escrever nele usamos métodos <code>getCampo</code> e <code>setCampo</code>, coisas do tipo.</p>

<p>Essa abordagem com métodos também pode ser feita no C# e é ai que ta minha dúvida. Quais são as vantagens e desvantagens no C# dessas duas abordagens? Minha preocupação com essa questão é a seguinte: estive resolvendo exercícios de orientação a objetos e notei que a grande maioria dos métodos que os exercícios pedem pra codificar <em>podem</em> se tornar propriedades no C#. O problema é que isso faz a classe parecer anêmica, ou seja, tendo só propriedades e sem lógica.</p>

<p>Dessa forma, existem diferenças entre as duas abordagens? Existe algum tipo de recomendação sobre qual técnica usar?</p>

<p><strong>EDIÇÃO</strong>: A resposta do @bigown é muito boa e esclarece algumas coisas com relação a esse tipo de decisão, mas vou adicionar alguns exemplos para ilustar o que estou falando, só pra completar um ponto. Os exemplos são de exercícios em Java. Um dos exercícios que resolvi pedia uma classe <code>Data</code> com métodos <code>getDia</code>, <code>getMes</code>, <code>getAno</code> e <code>isBissexto</code> para decidir se o ano é bissexto. Os métodos <code>get</code> claramente em C# poderiam ser implementados como getters. </p>

<p>Acontece que o <code>isBissexto</code> também poderia. Afinal ele devolve uma <em>característica</em> do objeto invés de executar um comportamento. Claro que existe uma lógica pra verificar isso, mas me pergunto se isso não seria uma propriedade.</p>

<p>Outro exercício pede uma classe <code>Prova</code> que deve ter métodos <code>respostaAluno</code> para inserir a alternativa da próxima questão, <code>acertos</code> para retornar o número de acertos, <code>nota</code> para retornar a nota e <code>maior</code> para comparar com outra prova.</p>

<p>Novamente, os métodos <code>acertos</code> e <code>nota</code> me parecem naturalmente propriedades. Eles são características da prova. Existe novamente uma lógica pra verificar isso, basicamente é preciso comparar cada questão com os dados provenientes de um gabarito informado no construtor, mas por conta de parecerem características achei que deveriam ser propriedades.</p>

<p>Acontece que tirando esses métodos e transformando em propriedades essas classes ficam quase sem funcionalidades, e não só elas mas muitas outras que já vi por ai. Isso indicaria o problema que ouvi dizer se chama ""modelo anêmico"". </p>

<p>Dessa forma, a decisão de algo como propriedade não depende somente de ser uma característica do objeto? Depende também de haver ou não uma lógica a ser utilizada para ler ou escrever aquele dado? Em casos então como esses que citei, é mais interessante então realmente utilizar métodos?</p>
",<c#><.net><orientação-a-objetos><encapsulamento><propriedade>
Criar Array de Objetos em java e acessar os objetos diretamente,"<p>Então preciso fazer o seguinte tenho uma classe com alguns atributos e metodos, preciso gerar uma <code>array</code> de objetos dessa classe, porem eu queria poder acessa-los diretamente, atualmente o que consegui fazer é joga-los em um <code>arraylist</code> e usar o <code>get(posição)</code> pra atribui-los em uma variavel temporaria para poder acessar seus metodos e atributos.</p>

<p>Classe a qual quero criar um array de objetos</p>

<pre><code>public class BlocoView {
    private MemoriaTextField enderecoMemoria;
    private MemoriaTextField palavras;
    public BlocoView(boolean selected){
        if(selected){
            this.enderecoMemoria = new MemoriaTextField(""0"", true);
            this.palavras = new MemoriaTextField(""???"", true);
        }else{
            this.enderecoMemoria = new MemoriaTextField(""0"", false);
            this.palavras = new MemoriaTextField(""???"", false);            
        }
    }
    public MemoriaTextField getEndereco(){
        return this.enderecoMemoria;
    }
}
</code></pre>

<p>Classe que contem o arraylist de objetos da classe acima</p>

<pre><code>public class MemoriaView extends JPanel {
    private ArrayList listadeBlocos;
    public MemoriaView(){
        super();
        this.listadeBlocos = new ArrayList();
        this.listadeBlocos.add(new BlocoView(false));
        this.setLayout(new MigLayout());
        //Aqui que tenho que acessar os atributos ou metodos diretamente
        this.add(this.listadeBlocos.get(0));
    }

}
</code></pre>

<p>Ao tentar fazer algo do tipo</p>

<pre><code>this.add(this.listadeBlocos.get(0).getEndereco);
</code></pre>

<p>o java nao consegue encontrar o metodo get endereco</p>
",<java><array><orientação-a-objetos>
Dúvida em exercício de herança em C#,"<p>Estou tentando resolver um exercício de herança e encontrei uma dúvida que vi que tem chance de aparecer em outros lugares e por isso achei que devia perguntar aqui. O exercício pedia pra primeiro criar uma classe <code>Voo</code> que representa um voo de avião e é capaz de manipular informações sobre ocupação de assentos, sendo que parte dos requerimentos é o fato de cada voo ter no máximo 100 assentos.</p>

<p>Depois é pedido pra criar uma classe herdeira que permite a definição do número de cadeiras máximo e dividir o avião em fumantes e não fumantes. Com relação a parte dos fumantes eu sei implementar. O que eu não sei é o número variável de cadeiras por causa da forma que implementei a classe base.</p>

<p>Como há 100 assentos, eu criei um array de bool de tamanho 100 na classe base em que a <code>i</code>-ésima entrada é <code>true</code> se o assento <code>i</code> está ocupado. Basicamente eu fiz isso inicializando o array no construtor da seguinte forma:</p>

<pre><code>public class Voo
{
    private bool[] ocupacaoAssentos;

    public int Numero { get; private set; }

    public Data Data { get; private set; }

    public Voo(int numeroVoo, Data data)
    {
        this.Numero = numeroVoo;

        this.Data = data;

        this.ocupacaoAssentos = new bool[100];
    }
}
</code></pre>

<p>Então os métodos manipulam esse array. O problema é que a classe herdeira não teria como modificar isso. Até onde eu sei, no C# o construtor da classe herdeira sempre chama o construtor da classe base.</p>

<p>Uma solução possível (em C#) seria implementar isso com uma classe de coleção que não tem tamanho fixo e então criar um campo readonly estático que diz o máximo de assentos e então modificar ele na classe herdeira e a partir daí fazer verificações pra que tudo fique dentro dos limites. Não sei se do ponto do exercício seria válida, porque o exercício é em Java e não sei se o Java tem essas classes de coleção como o C#.</p>

<p>Mas e se eu não tivesse como modificar a classe base por alguma razão ou por algum outro detalhe do problema eu simplesmente não tivesse como aplicar uma solução desse tipo? Como eu poderia lidar com isso? Esse é um caso que me parece que a classe base é mais geral que a classe herdeira.</p>
",<c#><orientação-a-objetos><herança>
Como comunicar entre classes?,"<p>Estou iniciando no JavaFX e estou com dúvidas.</p>

<p>A classe principal cria um HBox com um botão. Esse botão tem a ação de criar uma <code>TableView</code> no Center da <code>bdPrincipal</code>. Só que estão em classes/packages diferentes.</p>

<p>Qual a melhor maneira de buscar a <code>bdPrincipal</code> pra adicionar a <code>addTabela()</code>?</p>

<pre><code>BorderPane bpPrincipal;
public void start(Stage primaryStage) {
        bpPrincipal = new BorderPane();
        bpPrincipal.setLeft(Menu.addMenu());
        scPrincipal = new Scene(bpPrincipal);
        primaryStage.setScene(scPrincipal);
        primaryStage.centerOnScreen(); 
        primaryStage.setHeight(Screen.getPrimary().getVisualBounds().getHeight()); 
        primaryStage.setWidth(Screen.getPrimary().getVisualBounds().getWidth());        
        primaryStage.show();
    }    


public class Menu {
    public static HBox addMenu() {

        HBox hbox = new HBox();
        hbox.setPadding(new Insets(15, 12, 15, 12));
        hbox.setSpacing(20);
        hbox.setStyle(""-fx-background-color: #336699;"");

        Button btnListar = new Button(""Listar"");
        btnListar.setPrefSize(100, 20);
        btnListar.setOnAction(new EventHandler&lt;ActionEvent&gt;() {
            public void handle(ActionEvent evento) {
                  GestorFX.bpPrincipal.setCenter(addTabela());
            }
        });
        hbox.getChildren().addAll(btnListar);

        return hbox;
    }
    @SuppressWarnings({ ""rawtypes"", ""unchecked"" })
    private static TableView addTabela()
    {
        TableColumn colCodigo = new TableColumn();
        colCodigo.setText(""Código"");
        colCodigo.setMinWidth(150);
        colCodigo.setCellValueFactory(new PropertyValueFactory(""clienteCodigo""));

        TableColumn colFantasia = new TableColumn();
        colFantasia.setText(""Nome Fantasia"");
        colFantasia.setMinWidth(450);
        colFantasia.setCellValueFactory(new PropertyValueFactory(""clienteFantasia""));

        TableColumn colRazao = new TableColumn();
        colRazao.setText(""Razão Social"");
        colRazao.setMinWidth(450);
        colRazao.setCellValueFactory(new PropertyValueFactory(""clienteRazao""));

        TableView tabela = new TableView();
        tabela.setItems(Negocio.Cliente.ListaCompleta());
        tabela.getColumns().addAll(colCodigo, colFantasia, colRazao);

        return tabela;
    }
}
</code></pre>
",<java><orientação-a-objetos><classes>
Princípio aberto/fechado - como entender isso?,"<p>Em orientação a objetos existe o SOLID sendo que um dos princípios é o aberto/fechado que eu aprendi da seguinte forma: ""os componentes de software devem estar abertos para extensão e fechados para modificação"" sendo que componentes inclui classes, métodos, etc. Apesar de parecer uma boa ideia, eu não consigo entender como isso realmente funciona na prática.</p>

<p>O que acontece é que eu consigo imaginar várias razões que podem requerer modificação de uma classe, entre elas mudança nos requisitos do sistema sendo desenvolvido. Apesar de eu estar a par dessa ideia, meu cliente não está e ele pode muito facilmente mudar de ideia em alguns pontos que exijam revisão na lógica em si dentro das classes.</p>

<p>Nesses casos não consigo ver uma forma de resolver isso somente com herança. Se o que está mudando é realmente como o método deve funcionar, eu vou precisar modificar ele.</p>

<p>Dessa forma, o que realmente o principio aberto/fechado quer dizer e como se usa ele na prática?</p>
",<orientação-a-objetos><solid>
Qual o papel dos padrões de arquitetura em orientação a objeto?,"<p>Essa pergunta parece ter uma resposta óbvia, mas eu confesso que ainda não peguei a ideia sozinho. Estou trabalhando com orientação a objetos desde 2011, principalmente voltado para desenvolvimento web. Logo que comecei já ouvi falar sobre MVC. Quando peguei um livro de MVC pra ler ele citava muitos outros padrões de arquitetura, entre eles o MVVM e o MVP.</p>

<p>Mas qual o real papel desses padrões de arquitetura? Sempre que vamos fazer um projeto orientado a objetos escolhemos algum padrão pra basear ele? Claro que é possível criar um novo projeto e sair programando sem padrão nenhum, mas na prática sempre escolhe-se um padrão pra basear o projeto?</p>

<p>Além disso, me parece que a decisão dos padrões se baseia em última instância não no modelo de domínio mas na interface com o usuário. Digo isso porque vi o seguinte: a motivação para o MVC na web é o fato do HTTP não manter estado, o fato da interface com o usuário ser na web. O MVVM aparece em cenários onde há estado, ou seja, o fato da interface com o usuário permitir isso, e por ai vai. Como é feita essa escolha de padrão?</p>
",<orientação-a-objetos><padrões>
Qual a diferença entre Struct e Class?,"<p>Qual a diferença entre Struct e Class?
Que tipo de situação devo utilizar uma Struct invés de uma Class?</p>
",<c#><orientação-a-objetos>
"O que ""imutável"" realmente significa?","<p>Nessa <a href=""http://pt.stackoverflow.com/questions/14490/alocacao-de-memoria-em-c-tipos-valor-e-tipos-referencia"">pergunta</a> que fiz a respeito de tipos valor e tipos referência em C#, foi citado na resposta aceita que instâncias de structs devem ser objetos imutáveis. Lendo no <a href=""http://pt.wikipedia.org/wiki/Objeto_imut%C3%A1vel"">wikipedia</a> confirmei que um objeto imutável não deveria ter seu estado modificado depois de criado. Mas isso é confuso, porque afinal, se eu declaro uma variável seja de um tipo struct ou um tipo classe, eu posso modificar seu valor a qualquer momento, ou então ela seria uma constante.</p>

<p>Na realidade, <code>int</code> é uma struct pelo que sei, então nesse caso se eu declaro uma variável do tipo <code>int</code> ela não deveria ser modificada se instâncias de structs são realmente imutáveis. Mas isso claramente não é verdade, eu posso fazer <code>int i = 1</code> e depois <code>i++</code> e só nisso já mudei o seu estado.</p>

<p>Dessa forma, o que realmente significa ""objetos imutáveis"" e como esse conceito é um conceito útil em orientação a objetos?</p>
",<c#><.net><orientação-a-objetos><imutabilidade>
Qual a diferença entre métodos do Controller e do Helper?,"<p>Dúvida arquitetural e conceitual:</p>

<p>Possuo um <em>model</em> <code>Item</code> que possuí atributos <code>nome_ptbr</code> e <code>nome_en</code>.</p>

<p>Fiz o seguinte método:</p>

<pre><code>def display_nome
  nome_ptbr || nome_en
end
</code></pre>

<p>Onde devo colocar esses métodos, no <em>controller</em> ou no <em>helper</em>? Qual a diferença entre um e outro?</p>
",<ruby-on-rails><ruby><orientação-a-objetos><arquitetura-de-software>
Representar coordenadas em vetor de Matlab,"<p>Estou com problemas na criação de um vetor de objetos em Matlab, a ideia é que seja um vetor de coordenadas, i.e. as posições x e y.
O objetivo é ter um vetor para acessar as coordenadas nos loops facilmente, e ter atomicidade dos dados para ter consistência de qual posição é x ou y.
Creio que tem que usar construtor.</p>

<p>Dado um n de entrada será construído um array de coordenadas de tamanho n. No qual cada elemento terá seu próprio x e y.
Ex:</p>

<pre><code>n=2;
vetor(n)=coord(0,0);
vetor(1).x=5;vetor(1).y=3;
vetor(2).x=2;vetor(2).y=4;
</code></pre>

<p>A questão principal é que quero deixar a instância vetor em uma outra classe, que terá que ter no construtor a alocação desse array de n posições.</p>
",<orientação-a-objetos><matriz><matlab>
Declaração Correta Classes Model MVC Ninject,"<p>Comecei a usar OO a pouco tempo e em todos projetos que eu vejo na net, eu vejo a seguinte maneira de declaração.</p>

<pre><code>public class Trabalhador
{
    public int Id { get; set; }
    public string Nome { get; set; }
    public virtual ICollection Dependente { get; set; }
    public virtual ICollection Dependente { get; set; }
    public virtual ICollection LicencaMedica{ get; set; }
}

public class Dependente
{
    public int ID { get; set; }
    public string Nome { get; set; }
    public virtual Trabalhador Trabalhador { get; set; }
}

public class Ferias
{
    public int ID { get; set; }
    public string Nome { get; set; }
    public virtual Trabalhador Trabalhador { get; set; }
}

public class LicencaMedica
{
    public int ID { get; set; }
    public string Nome { get; set; }
    public virtual Trabalhador Trabalhador { get; set; }
}
</code></pre>

<p>Entretanto estou trabalhando em um projeto em conjunto com outros desenvolvedores, e um deles defende com unhas e dentes que as minhas classes não devem possuir o ""virtual"" como atributo de navegação, defende ele que as classes Dependente, Ferias e Licença pelo fato de ja terem uma ICollection em Trabalhador, nao devem possuir nenhuma chave, pois serão todas acessiveis a partir da classe trabalhador, está correto isso do ponto de vista da OO? Expus minha opiniao e falei que isso estava errado, pois estaria meio que criando uma classe Root e tudo passaria por ela sem necessidade, meio que sobrecarregando uma classe com muita responsabilidade, a abordagem dele seria a seguinte:</p>

<pre><code>public class Trabalhador
{
    public int Id { get; set; }
    public string Nome { get; set; }
    public virtual ICollection Dependente { get; set; }
    public virtual ICollection Dependente { get; set; }
    public virtual ICollection LicencaMedica{ get; set; }
}

public class Dependente
{
    public int? ID { get; set; }
    public string Nome { get; set; }
}

public class Ferias
{
    public int? ID { get; set; }
    public string Nome { get; set; }
}

public class LicencaMedica
{
    public int? ID { get; set; }
    public string Nome { get; set; }
}
</code></pre>

<p>Está correto isso do ponto de vista da OO? Pra mim ter acesso a um objeto da classe filha eu devo obrigatoriamente passar pela classe pai? Segundo ele o Ninject que acusa erro no sistema, pois o fato de instanciar a classe pai e depois instanciar a classe filha segundo ele daria um loop no sistema, por isso ele arranca todas as propriedade de navegação das classes filhas.</p>

<p>(Nao estamos usando Entity, estamos usando ADO com SP no Banco). Tentei ser o mais especifico possivel, qual o problema de cada uma das abordagens?</p>
",<c#><asp.net-mvc><orientação-a-objetos><classes>
Usar função de uma classe dentro de outra classe PHP,"<p>tenho duas classes, qual a maneira correta de chamar uma função de outra classe, da maneira abaixo retorna erro</p>

<pre><code>class DB {
public function __construct($user, $password, $database, $host) {
        $this-&gt;user = $user;
        $this-&gt;password = $password;
        $this-&gt;database = $database;
        $this-&gt;host = $host;

        $this-&gt;ConectarBanco();
    }

    protected function ConectarBanco() {
        $this-&gt;mysqli = new mysqli($this-&gt;user, $this-&gt;password, $this-&gt;database, $this-&gt;host);
        if (mysqli_connect_errno()) {
            die('N&amp;atilde;o foi poss&amp;iacute;vel conectar-se ao banco de dados');
            exit();
        }
    }

    public function FecharBanco() {
        $this-&gt;mysqli-&gt;close();
    }

    public function ExecutarSQL($sql) {
        $this-&gt;result = $mysqli-&gt;query($sql);
        return $this-&gt;result;
    }

    public function Consultar($dados) {
        $this-&gt;newRow = array();
        while($row = $mysqli-&gt;fetch_array($dados)) {
            array_push($this-&gt;newRow,$this-&gt;row);
        }
        return $this-&gt;newRow;
    }
}

class Acao{

    public function fnAcao(){

            $query = ""SELECT * FROM tabela"";

            $result = DB::ConsultarSQL($query);

        return $result;

    }
}
</code></pre>
",<php><orientação-a-objetos><classes>
